id,genres,tag
37.0,Documentary,BD+AC0-R-IMAX 3+AC0-D-Stereoscopic 3+AC0-D
38.0,Comedy,switching places-twins-twins/inter+AC0-related lives-twins-cute-fun-heartwarming-mary kate and ashley-nostalgic-Andy Tennant
41.0,War,Ian McKellen-Shakespeare-updated classics-Shakespeare-based on a play-corrupt protagonist-great acting-Ian McKellen-playwright:Shakespeare-Shakespeare-based on a play-adapted from:play-playwright:Shakespeare-Shakespeare-Robert Downey Jr-CLV-DVD+AC0-RAM-great acting-Ian McKellen-Richard Loncraine
46.0,Romance,Bibliothek-women-based on a book-women-women-women-women-women-Nudity (Topless +AC0- Brief)-women-women-wedding-women-women-women-CLV-women-women-women-women-a chick flick-women
49.0,Romance,circus-lesbian-lesbian-nudity (topless)-Gay-Religion-Nudity (Topless +AC0- Notable)-own-Patricia Rozema
54.0,Comedy,soccer-disney-sports-Holly Goldberg Sloan
61.0,Thriller,vigilante-CLV-John Schlesinger
65.0,Comedy,stupid movie-Pauly Shore-Polly Shore-Nostalgia Critic-not funny-Polly Shore-buddy comedy-Pauly Shore-stephen baldwin-stupid-buddy comedy-Can't remember-Golden Raspberry (Worst Actor)-Jason Bloom
69.0,Comedy,funny-ghetto-great soundtrack-Ice Cube-Chris Tucker-friendship-great soundtrack-Ice Cube-stupid last comment-friendship-Ice Cube-BGAB LRC-Bob+ACo-ola-Comedy Need to See-friendship-ghetto-great soundtrack-wired 50 greatest soundtracks-funny-Chris Tucker-Ice Cube-stupid last comment-stoner-Chris Tucker-Ice Cube-comedy-F. Gary Gray-friendship-funny-Ice Cube
72.0,Comedy,literate-talky-understated-wistful-witty-wry-chris eigeman-noah baumbach-quotable dialogue-Underrated-Coming+AC0-of+AC0-Age-Bad Whit Stillman-Coming+AC0-of+AC0-Age-boring-cinematography-Coming+AC0-of+AC0-Age-Criterion-dialogue-literate-long takes-noah baumbach-talky-unemotional-wistful-wry-Whit Stillman-whit stillman meets Diner-Noah Baumbach-Criterion-Noah Baumbach
73.0,War,World War II-foreign language-opera-World War II-based on a book-changed the book TOO much-love-Jewish-lawyer-opera-adapted from:book-author:Victor Hugo-Claude Lelouch
74.0,Romance,chick flick-bit too sweet-chick flick-Romance-Romance-girlie movie-Mary Stuart Masterson-predictable
75.0,Comedy,Golden Raspberry (Worst Actor)-Steve Miner
77.0,Documentary,biopic-enigmatic-music-performer-The Velvet Underground
79.0,Thriller,nudity (topless)-Nudity (Topless)-mafia-Brian Gibson
82.0,Comedy,Oscar (Best Foreign Language Film)-2.5-feminism-intellectual-lesbian-mathematics-Nudity (Full Frontal)-strong woman-intellectual-strong woman-Toronto Film Festival Winner-Toronto Film Festival Winner 1995-lesbian-nudity (full frontal)-Nudity (Full Frontal)-netflix-Bechdel Test:Pass-mathematician-mathematics-strong woman-NO+AF8-FA+AF8-GANES-fantasy-strong woman-j netflix-Marleen Gorris
83.0,Romance,3-based on a book-biography-Mississippi-racism-segregation-Tim Reid
85.0,Romance,19th century-A. S. Byatt-darwinism-secrets-Nudity (Full Frontal +AC0- Notable)-19th century-based on a book-nudity (full frontal)-Nudity (Full Frontal +AC0- Notable)-19th century-compelling-secrets-To See-might like-A. S. Byatt-adaptation-Victorian-Nudity (Full Frontal +AC0- Notable)-Philip Haas
87.0,Comedy,chimpanzee-Rupert Everett-Nice-Ken Kwapis
88.0,Comedy,SNL-chris farley-politics-Saturday Night Live-Chris Farley-Chris Farley-not bad.-easily confused with other movie(s) (title)-Chris Farley-easily confused with other movie(s) (title)-comedy-comedy-Penelope Spheeris
96.0,Comedy,theater-Kenneth Branagh
97.0,Crime,disturbing-social commentary-angry-cynical-French Film-realistic-angry-biting-bleak-confrontational-cynical-disturbing-ominous-social commentary-french-3.5-black and white-cynical-french-racism-social commentary-French-disturbing-social commentary-Tumey's DVDs-angry-black and white-bleak-confrontational-cynical-disturbing-drugs-french-ghetto-gritty-realistic-social commentary-still relevant-class conflict-french-social commentary-classic-mathieu kassovitz-vincent cassel-social commentary-classique-vincent cassel-violence-erlend's DVDs-confrontational-drugs-french-social commentary-black and white-Amazing+ACE--black and white-gritty-black and white-racism-social commentary-Vincent Cassel-BD+AC0-R-BLANC I NEGRE-COM UN DOCUMENTAL-MOLT+AF8-AVORRIDA-black and white-memasa's movies-missing gun-riot-social commentary-bleak-cynical-racism-90s-black and white-confrontational-french-gritty-verlan-angry-black and white-bleak-french-gritty-paris-social commentary-racism-angry-biting-black and white-bleak-Cannes: Best Director-co+AC0-production-confrontational-cynical-disturbing-drugs-ghetto-paris-R-racism-riot-social commentary-90s-cynical-french-ghetto-gritty-realistic-social commentary-still current-Vincent Cassel-black and white-gritty-social commentary-french-Criterion-Mathieu Kassovitz-paris-still current
100.0,Thriller,corruption-Al Pacino-politics-Al Pacino-Al Pacino-CLV-corruption-own-politics-Harold Becker
102.0,Comedy,one of the worst ever-stupid-Nick Castle
104.0,Comedy,Adam Sandler-Bob Barker-Carl Weathers-Christopher McDonald-comedy-Dennis Dugan-Divx1-Filmed in BC-golf-haha-Hayao Miyazaki-hockey-recommendz top pick-seen more than once-setting:golf course-sport:golf-sports-test tag-you're gonna die clown-Adam Sandler-Underdog-foqam-Adam Sandler-golf-sports-Adam Sandler-Hayao Miyazaki-you're gonna die clown-Adam Sandler-golf-Adam Sandler-sports-golf-sports-Golf-Adam Sandler-Adam Sandler-setting:golf course-sport:golf-Filmed in BC-golf-Adam Sandler-Bob Barker-comedy-golf-sports-Adam Sandler-seen more than once-Adam Sandler-CLV-you're gonna die clown-Adam Sandler-Carl Weathers-Christopher McDonald-seen more than once-Adam Sandler-Bob Barker-golf-hilarious-Sports Coordinator:Mark Ellis-NO+AF8-FA+AF8-GANES-Adam Sandler-Hayao Miyazaki-sports-golf-Adam Sandler-Adam Sandler-Bob Barker-Carl Weathers-Golf-golf-hockey-seen more than once-test tag-adam sandler-Adam Sandler-comedy-golf-recommendz top pick-Adam Sandler-comedy-funny-goofy-Adam Sandler-golf-sports-seen more than once-haha-Adam Sandler-Dennis Dugan-Adam Sandler-you're gonna die clown-Divx1-comedy
105.0,Romance,deliberate-heartwarming-lyrical-sentimental-tearjerking-warm-wistful-chick flick-Meryl Streep-heartwarming-adultery-affair-Clint Eastwood-based on a book-Iowa-affair-Bechdel Test:Pass-Book-adapted from:book-affair-bittersweet-Clint Eastwood-Meryl Streep-real life-romance-BD+AC0-R-affair-love story-Bechdel Test:Pass-seen 2011-Based on a Book-Clint Eastwood-Meryl Streep-affair-bittersweet-Meryl Streep-sentimental-warm-passionate-affair-sentimental
115.0,Comedy,01/11-03/10-05/10-06/10-08/10-10/10-11/10-12/10
116.0,Documentary,anti+AC0-Semitism-germany-Holocaust-nazis-2.5-germany-holocaust-jews-nazis-true story-wwII-Holocaust-Oscar (Best Documentary Feature)-true story-Oscar:documentary-The Shoah-Holocaust-Biography-true story-archive footage-Biography-Glenn Close-Kenneth Branagh-World War II-too small-anti+AC0-Semitism-archive footage-BBC produced-Biography-germany-Glenn Close-Holocaust-jews-nazis-Oscar (Best Documentary Feature)-PG-Jon Blair
117.0,Crime,disturbing-AWESOME-COOL-MURDER-dysfunctional family-true story-to see-Benjamin Ross
125.0,Comedy,Screwball Comedy-ensemble cast-watch the credits-Ben Stiller-Glenn Fitzgerald-Patricia Arquette-T+//0Aw//9AKk-a Leoni-Nudity (Topless +AC0- Brief)-Ben Stiller-Nudity (Topless +AC0- Brief)-Screwball Comedy-Ben Stiller-Patricia Arquette-T+//0Aw//9AIP//QDC//0AqQ-a Leoni-David O. Russell-ensemble cast-Screwball Comedy-instant view-want to see again-Ben Stiller-David O. Russell-Patricia Arquette-T+//0Aw//9AIP//QDC//0AqQ-a Leoni-David O. Russell-gratuitous sex
128.0,Documentary,DVD+AC0-Video-Michel Negroponte
132.0,Thriller,Nudity (Rear)-Nudity (Topless +AC0- Brief)-CLV-Chazz Palminteri-Linda Fiorentino-Sex-flop-Nudity (Rear)-San Francisco-screenwriter:Joe Eszterhas
133.0,Comedy,drama-spanish
134.0,Documentary,illegal art-Craig Baldwin
135.0,Comedy,submarine-rebel commander-renegade crew-rusty sub-submarine-U.S. Navy submarine-submarine-setting:submarine-Good Comedy-submarine-Bruce Dern-Harland Williams-Harry Dean Stanton-Kelsey Grammer-Lauren Holly-rebel commander-renegade crew-Rip Torn-Rob Scheider-rusty sub-U.S. Navy submarine-William H. Macy-submarine-submarine-Good Comedy-David S. Ward-Harland Williams-Patton Oswalt
136.0,Documentary,documentary-tragedy-Mark Rappaport
140.0,Romance,Bibliothek-journalism-journalism-love story-afternoon section-Stockard Channing
141.0,Comedy,comedy-gay-gay-comedy-gay-Gay stereotypes-queer-Robin Williams-gay-homosexual theme-comedy-Gay stereotypes-comedy-crossdressing-comedy-drag queens-gay-Gay stereotypes-queer-Robin Williams-Gene Hackman-Robin Williams-based on a play-based on a play-cross dressing-cross dressing men-gay-gay stereotypes-queer-remake-Robin Williams-comedy-Gay stereotypes-homosexuality-adapted from:play-queer?-RemakeOf:La Cage aux folles (1978)-watch+AC0-fully-comedy-Gay stereotypes-queer-CLV-Robin Williams-gay-based on a play-comedy-cross dressing-cross dressing men-crossdressing-gay-Gay stereotypes-Gene Hackman-homosexual theme-Madonna-Mike Nichols-queer-remake-Robin Williams-gay parenting-Gay stereotypes-homosexual theme-can't remember-comedy-might like-comedy-Gene Hackman-Hank Azaria-Robin Williams-cliche-Robin Williams-comedy-Gay stereotypes-Mike Nichols
144.0,Comedy,family-Irish-reviewed-Edward Burns
152.0,Horror,Christopher Walken-Lili Taylor-vampires-Christopher Walken-drug abuse-philosophical-stylized-vampires
156.0,Comedy,lille fille.-men alligevel ender med at v+//0Aw//9AIP//QDC//0Apg-re et vildt fedt portr+//0Aw//9AIP//QDC//0Apg-t-Portr+//0Aw//9AIP//QDC//0Apg-t af brooklin som er lidt direkte og klodset i sit portr+//0Aw//9AIP//QDC//0Apg-tform-nudity (topless)-Nudity (Topless)-brooklyn-jim jarmusch-Lou Reed-New York City-plotless-CLV-in netflix queue-memasa's movies-minimalist
162.0,Documentary,mental illness-cynical-deliberate-disturbing-irreverent-quirky-raunchy-sexual-wry-documentary-biography-comic book-disturbing-documentary-sexual-artist mind-counterculture-documentary-netflixq-qube-biography-Fucked up-mental illness-comic book-deliberate-quirky-Terry Zwigoff-biographical-In Netflix queue-artist mind-biography-comic book-cynical-disturbing-BD+AC0-R-artist mind-comic book-counterculture-Criterion-irreverent-quirky-raunchy-Terry Zwigoff-wry-documentary-artist mind-documentary-artist mind-comic book-Criterion-Terry Zwigoff-artist mind-biography-comic book-deliberate-documentary-irreverent-raunchy-sexual-wry
171.0,Comedy,friendship relations-AIDS-gay-AIDS-gay-CLV-4th wall-gay-gay-romantic comedy-gay-Christopher Ashley
174.0,Comedy,CLV-tacos-Golden Raspberry (Worst Actor)-John Fortenberry
176.0,Comedy,Bob+ACo-ola-movie business-nudity (topless)-Nudity (Topless)-behind+AC0-the+AC0-scenes-film+AC0-making-meta+AC0-indie-film+AC0-making-indie-meta+AC0-indie-off+AC0-beat comedy-Tom DiCillo-Steve Buscemi-Catherine Keener-indie-Steve Buscemi-behind+AC0-the+AC0-scenes-Catherine Keener-dwarf-film+AC0-making-indie-meta+AC0-indie-Tom DiCillo
177.0,Horror,cult-CLV-Can't remember-dark fantasy-huh?
178.0,Comedy,gay-nihilism-psychotic murderer-adapted from:play-dark comedy-psychic character-serial killer-dark comedy
179.0,Romance,Nudity (Topless +AC0- Brief)
182.0,Romance,CLV-Nudity (Topless +AC0- Notable)
187.0,Comedy,library-librarians-underrated-Coming+AC0-of+AC0-Age-Bechdel Test:Pass-librarians-protagonist is +AGA-party girl'-setting:library-perrot library-Bechdel Test:Pass-charming-coming+AC0-of+AC0-age-generation x-indie-off+AC0-beat comedy
190.0,Thriller,environment-food-environmental-facebook rec-stark-Todd Haynes-underrated-environment-environmental-food-interesting effort-Criterion-Todd Haynes
191.0,Romance,period piece-Gary Oldman-based on a book-Nathaniel Hawthorne-Gary Oldman-trash
194.0,Comedy,Father son relationship-Forest Whitaker-Harvey Keitel-multiple storylines-ensemble cast-multiple storylines-multiple storylines-Mike super recs-ensemble cast-Forest Whitaker-Brooklyn-ensemble cast-multiple storylines-New York City-NewYork-New York City-Harvey Keitel-Paul Auster-independent film-Harvey Keitel-ensemble cast-memasa's movies-on dvr-shop (establishment)-good-interesting-ensemble cast-interesting-multiple storylines-New York City-ensemble cast-Father son relationship-Forest Whitaker-multiple storylines-New York City-Paul Auster-small business-Paul Auster-Wayne Wang
202.0,Romance,19th century-nudity (rear)-nudity (topless)-writers-homoerotic subtext-homosexuality-David Thewlis-Great direction-Leonardo DiCaprio
203.0,Comedy,Crossdressing-queer-appreciating diversity-cross dressing-homophobia-queer-Hugo Weaving-cross dressing-cross dressing men-homophobia-queer-small town-fantastic-heartwarming-appreciating diversity-CLV-road trip-drag queens-John Leguizamo-Patrick Swayze-queer-road trip-small town-Stockard Channing-Wesley Snipes-transsexuals
205.0,Comedy,John Turturro-Diane Keaton
206.0,Documentary,Douglas Keeve
207.0,Romance,cinematography-Keanu Reeves-Romance-cheesy-keanu reeves-romance-Keanu Reeves
214.0,War,non+AC0-linear-horror of war-awful-bloody-gory-hard to watch-harrowing-Criterion-NO+AF8-FA+AF8-GANES-To See-harrowing-horror of war-not black+AC0-or+AC0-white story-Criterion-Milcho Manchevski
